trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.6689717585696803, 'e': 0.6689717585696803}",30,0,-105.30770340545656,"{0: 21, 1: 3, 2: 3, 3: 2, 4: 1}",0
41,False,"{'a': 0.6622820409839835, 'e': 0.6622820409839835}",20,0,-129.92907943770805,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.6556592205741436, 'e': 0.6556592205741436}",25,0,-137.71729876464227,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
43,False,"{'a': 0.6491026283684022, 'e': 0.6491026283684022}",30,0,-142.81444340565443,"{0: 21, 1: 1, 2: 4, 3: 2, 4: 2}",0
44,False,"{'a': 0.6426116020847181, 'e': 0.6426116020847181}",20,4,-23.11411011684862,"{0: 11, 1: 2, 2: 3, 3: 0, 4: 0}",1
45,False,"{'a': 0.6361854860638709, 'e': 0.6361854860638709}",25,0,-90.36691620496914,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
46,False,"{'a': 0.6298236312032323, 'e': 0.6298236312032323}",35,0,-27.416054400541647,"{0: 29, 1: 1, 2: 4, 3: 1, 4: 0}",0
47,False,"{'a': 0.6235253948912, 'e': 0.6235253948912}",20,2,-52.09720458107637,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
48,False,"{'a': 0.617290140942288, 'e': 0.617290140942288}",25,5,-86.82792183025293,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",1
49,False,"{'a': 0.611117239532865, 'e': 0.611117239532865}",25,7,-12.443087054183234,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
50,False,"{'a': 0.6050060671375364, 'e': 0.6050060671375364}",30,0,-41.265797448082346,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.598956006466161, 'e': 0.598956006466161}",25,0,-164.6928188231518,"{0: 17, 1: 2, 2: 2, 3: 0, 4: 4}",0
52,False,"{'a': 0.5929664464014994, 'e': 0.5929664464014994}",25,0,-63.77692861506742,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",1
53,False,"{'a': 0.5870367819374844, 'e': 0.5870367819374844}",25,0,-129.84927273481821,"{0: 15, 1: 2, 2: 4, 3: 3, 4: 1}",0
54,False,"{'a': 0.5811664141181095, 'e': 0.5811664141181095}",20,0,-63.368546436971336,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
55,False,"{'a': 0.5753547499769285, 'e': 0.5753547499769285}",20,8,-24.85252705026202,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 0}",1
56,False,"{'a': 0.5696012024771592, 'e': 0.5696012024771592}",25,0,-114.46244605533145,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
57,False,"{'a': 0.5639051904523875, 'e': 0.5639051904523875}",30,0,-108.17120924878574,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
58,False,"{'a': 0.5582661385478637, 'e': 0.5582661385478637}",25,0,-41.930128696552636,"{0: 19, 1: 2, 2: 2, 3: 2, 4: 0}",0
59,False,"{'a': 0.5526834771623851, 'e': 0.5526834771623851}",20,1,7.825511796740189,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
60,False,"{'a': 0.5471566423907612, 'e': 0.5471566423907612}",25,0,-61.81268511951867,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
61,False,"{'a': 0.5416850759668536, 'e': 0.5416850759668536}",35,0,-38.405667127094404,"{0: 29, 1: 2, 2: 3, 3: 0, 4: 1}",0
62,False,"{'a': 0.536268225207185, 'e': 0.536268225207185}",25,0,-102.89598277031614,"{0: 16, 1: 1, 2: 4, 3: 4, 4: 0}",0
63,False,"{'a': 0.5309055429551132, 'e': 0.5309055429551132}",20,6,-17.78835682447118,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
64,False,"{'a': 0.525596487525562, 'e': 0.525596487525562}",20,0,16.067118773887827,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.5203405226503064, 'e': 0.5203405226503064}",35,0,-150.63712494944915,"{0: 25, 1: 0, 2: 6, 3: 2, 4: 2}",0
66,False,"{'a': 0.5151371174238033, 'e': 0.5151371174238033}",30,0,-102.6622452194838,"{0: 22, 1: 0, 2: 5, 3: 2, 4: 1}",0
67,False,"{'a': 0.5099857462495653, 'e': 0.5099857462495653}",30,0,-96.8391685517885,"{0: 25, 1: 1, 2: 1, 3: 0, 4: 3}",0
68,False,"{'a': 0.5048858887870696, 'e': 0.5048858887870696}",30,0,-89.76036040295807,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",1
69,False,"{'a': 0.4998370298991989, 'e': 0.4998370298991989}",25,0,-139.71251082514576,"{0: 16, 1: 4, 2: 2, 3: 0, 4: 3}",0
70,False,"{'a': 0.49483865960020695, 'e': 0.49483865960020695}",25,6,-8.402972950245074,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 0}",1
71,False,"{'a': 0.4898902730042049, 'e': 0.4898902730042049}",20,0,-103.63542785116306,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
72,False,"{'a': 0.48499137027416284, 'e': 0.48499137027416284}",20,9,7.0559092072715845,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.4801414565714212, 'e': 0.4801414565714212}",30,10,-3.216243419118742,"{0: 17, 1: 2, 2: 0, 3: 1, 4: 0}",1
74,False,"{'a': 0.47534004200570695, 'e': 0.47534004200570695}",25,20,8.807425548949418,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.4705866415856499, 'e': 0.4705866415856499}",20,0,-44.5886632623379,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
76,False,"{'a': 0.46588077516979337, 'e': 0.46588077516979337}",25,0,-39.78240719561452,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
77,False,"{'a': 0.46122196741809546, 'e': 0.46122196741809546}",30,0,-2.2229846288061443,"{0: 26, 1: 1, 2: 3, 3: 0, 4: 0}",0
78,False,"{'a': 0.4566097477439145, 'e': 0.4566097477439145}",25,0,-25.36319369193326,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
79,False,"{'a': 0.45204365026647536, 'e': 0.45204365026647536}",20,0,-77.223170133345,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
80,False,"{'a': 0.4475232137638106, 'e': 0.4475232137638106}",30,0,-35.79718847770858,"{0: 23, 1: 1, 2: 6, 3: 0, 4: 0}",0
81,False,"{'a': 0.4430479816261725, 'e': 0.4430479816261725}",20,0,-14.873843648858461,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
82,False,"{'a': 0.43861750180991077, 'e': 0.43861750180991077}",20,0,-165.4675686200032,"{0: 7, 1: 2, 2: 9, 3: 0, 4: 2}",0
83,False,"{'a': 0.43423132679181164, 'e': 0.43423132679181164}",20,0,-61.833291497152025,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
84,False,"{'a': 0.4298890135238935, 'e': 0.4298890135238935}",30,0,-98.8436517246884,"{0: 23, 1: 2, 2: 2, 3: 1, 4: 2}",0
85,False,"{'a': 0.4255901233886546, 'e': 0.4255901233886546}",20,0,1.429887872375907,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.421334222154768, 'e': 0.421334222154768}",20,16,6.451415095677291,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.41712087993322033, 'e': 0.41712087993322033}",20,13,-1.2618244720086071,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.41294967113388814, 'e': 0.41294967113388814}",25,0,-37.64601918711685,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
89,False,"{'a': 0.40882017442254925, 'e': 0.40882017442254925}",30,0,-109.2714038926614,"{0: 25, 1: 0, 2: 2, 3: 0, 4: 3}",0
90,False,"{'a': 0.4047319726783238, 'e': 0.4047319726783238}",25,13,9.743579119384982,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.40068465295154054, 'e': 0.40068465295154054}",20,0,-6.138108745957246,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
92,False,"{'a': 0.3966778064220251, 'e': 0.3966778064220251}",35,3,-38.16184592993405,"{0: 28, 1: 1, 2: 0, 3: 2, 4: 1}",1
93,False,"{'a': 0.39271102835780486, 'e': 0.39271102835780486}",25,0,-63.50883663627095,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
94,False,"{'a': 0.3887839180742268, 'e': 0.3887839180742268}",20,0,5.480961252749207,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
95,False,"{'a': 0.38489607889348454, 'e': 0.38489607889348454}",25,6,-54.16998391617363,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 1}",1
96,False,"{'a': 0.38104711810454966, 'e': 0.38104711810454966}",20,12,5.059227648890047,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'a': 0.37723664692350417, 'e': 0.37723664692350417}",30,1,-55.02129163696765,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 1}",1
98,False,"{'a': 0.37346428045426916, 'e': 0.37346428045426916}",30,9,-37.39866601132642,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.36972963764972644, 'e': 0.36972963764972644}",20,0,14.882253352271416,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
